21/8

okay one
[
	(447.0, 171.0),
	(463.0, 176.0),
	(518.5926840274499, 577.7998180403047),
	(210.18093300011475, 363.71333849342057),
	(542.4319176486338, 297.92576801693383),
	(379.1999542748074, 584.9658295411072),
	(281.81523568331625, 237.3059267108666),
	(608.5497290305536, 443.4972472839678),
	(209.01030955228552, 517.1961524227063),
	(492.8865872342675, 620.5381642980888),
	(198.54134333670396, 556.8419894525066),
	(671.6363882336841, 411.7333962414662),
	(188.94500741594706, 257.27021997724034),
	(529.9226139291819, 307.9016048467252),
	(535.5340221459046, 314.93808818893467),
	(541.145430362631, 321.9745715311497),
	(523.5293742299874, 301.4886113063687),
	(519.788435418834, 296.79762241155566),
	(244.33576496560158, 376.30092974069305),
	(244.0111320107015, 367.2513654724781),
	(243.58846402973316, 386.2729677125053),
	(498.72354923985637, 522.5710439928031),
	(365.57418285563256, 554.5958056156201),
	(356.67470541960864, 553.2544252200317),
	(371.50716781298354, 555.4900592126793),
	(320.08405734347014, 263.25775301934584),
	(412.31331111309754, 244.73125759048582),
	(550.501886779209, 445.3230854631297),
	(328.87854466645723, 257.63870402655476),
	(312.19643722861457, 268.01691636936425),
	(381.2675337454838, 554.1366105376118),
	(349.46574657809236, 551.0307559111402),
	(544.7558991902947, 328.147862595402),
	(512.6908910666141, 290.242252799119),
	(492.01202273622266, 528.8362824362332),
	(503.8242221879052, 516.4883294028912),
	(244.16382568222764, 394.70030434827936),
	(244.4840617781617, 358.3011635776084),
]

# pretty good!
[
	(474.0, 126.0),
	(489.5152136499675, 133.5473277949709),
	(333.38694604640307, 620.5350335955156),
	(154.6597456647867, 328.4656753527871),
	(531.2899374988688, 635.5906456367552),
	(613.6677857897868, 284.60469110189183),
	(646.3285756855565, 475.71151035823465),
	(285.15875408082485, 185.40389510587212),
	(160.53916638198274, 523.241669750796),
	(642.0396719428772, 584.7749907476235),
	(690.7142309310191, 305.0092850106596),
	(126.04198682363591, 280.01247141282096),
	(519.9985120672509, 666.0871231413611),
	(243.59655033761302, 664.1267895040282),
	(343.00000000005593, 99.99999999998943),
	(97.32654644707895, 424.44955039152546),
	(210.61093193931976, 164.82181032436907),
	(611.638663752294, 182.61997330678363),
	(385.9410757600576, 701.2695581189968),
	(692.3615178830653, 449.292421944049),
	(155.85263290247318, 557.1243556529205),
	(337.6002416915837, 606.0006557345175),
